review_id,Username,Address,Rating,Language,ID_clause,Clause
19688,Peter S,Golden Bridge,4,en,19688.b,"It was an interesting visit, to say the least. Sun World is actually a giant amusement park, Vietnam’s answer to Disneyland."
8310,Chungxe,Crazy House Hang Nga Villa,5,en,8310.a,I really love the design of this homestay; it's very unique and completely different from the vintage style of other homestays in Da Lat.
20792,M-Tit,Ho Chi Minh's Mausoleum,5,en,20792.c,"After 20 years of preparation and construction, the Ho Chi Minh Museum was opened on September 2, 1990, on the occasion of the president's 100th birthday."
52164,Periwinkle_travel,Tam Coc-Bich Dong,3,en,52164.y,"In early December when we visited, no lush greenery or yellow fields like the photos which we have seen."
60128,Ahhjohn T,The Marble Mountains,2,en,60128.c,Not as good as what the people rating here.
33175,Dreh S,Japanese Bridge,1,en,33175.b,And in this case nothing special.
27834,dgtraveller,Hue Imperial City,5,en,27834.a,"Don't miss this historical monument. Fascinating set of buildings in varying states of decay & renovation, the restored ones are stunning."
21842,bennyvectra,Ho Chi Minh's Mausoleum,3,en,21842.c,"Unless you are nearby visiting other attractions, like Presidential Palace next to it, or Thanh Long Imperial Citadel about 2 blocks away."
13906,Mohd Aiman Mohd Rose,Cat Cat Village,2,en,13906.c,Some of the viewpoint need to pay to stall owner or else she/he will ask for money (ticket already paid at entrance).
52246,Eric B,Tam Coc-Bich Dong,3,fr,52246.a,We went for a boat ride.
42004,Peter I,Notre Dame Cathedral of Saigon,3,en,42004.e,"but that's where the similarities end - diferent architectural style, different size and I can't see my way to imagining Quasimodo swinging out of the towers."
3127,Mica L,Ba Na Hills,2,en,3127.b,"I have rated a 2 because the bridge was ok, & the view from the cable car was lovely."
36315,Barbara S,My Son,3,en,36315.e,"Regretfully, our guide was not especially knowledgeable, so we missed learning about this important monument."
46730,Alexander O,Po Nagar Cham Towers,4,en,46730.c,but overall we enjoyed it. There weren't many people.
5490,An_danh_194,Cai Rang Floating Market,5,en,5490.d,It is true that the availability and courtesy in Vietnam have it as characteristics.
42020,Hyuna Im,Notre Dame Cathedral of Saigon,3,en,42020.f,but I still feel so regretful about it.
43494,debsum123,Old Quarter,5,en,43494.c,"It was all marvellous! Busy, loud but marvellous!"
36624,Gregory Harris,My Son,3,en,36624.g,"Thankfully, the refreshment stands on site are very inexpensive."
8990,T B,Crazy House Hang Nga Villa,4,en,8990.e,"Besides sightseeing, there are also rooms for guests who want to experience an overnight stay in this unique architecture."
23343,huynh_huynhphuong,Hoa Lo Prison,5,en,23343.a,"It was truly moving; Hoa Lo Prison vividly portrays the brutal history, leaving visitors with a pang of sadness."
23203,Cord Bury,Hoa Lo Prison,5,en,23203.b,"The exhibits were thoughtfully curated, showcasing the resilience of those who endured such hardships."
62496,Emily Lowe,VinWonders Nha Trang,3,en,62496.b,Can be very crowded during peak seasons and weekends.
6752,Patrick 1,Cai Rang Floating Market,1,en,6752.c,"Let me explain the process (and Tet is not an excuse) Two people collected at 5:50am, total cost only 200,000VND for two! Great!"
12674,smallmouth,Cat Cat Village,5,en,12674.d,I was very regret that I didn’t know this earlier and hence would like to remind all who is planning to go. Don’t miss it!!
39158,chloecats,Nha Trang Beach,1,en,39158.g,while three Asian men had to jump in and pull her out.
63981,Elenilka,VinWonders Phu Quoc,4,ru,63981.b,"To date, the cash register is offering to buy a carnival ticket to the park at Safari + Vinperl in one day."
44457,Bangtao,Old Quarter,3,en,44457.a,Whenever we walked through the Old Quarter we returned exhausted to our Hotel.
63356,Temuge Gansukh,VinWonders Phu Quoc,5,en,63356.d,Bought 2 day tickets at ticket office no need to buy online.
53302,Hannah Lee,Temple Of Literature,5,en,53302.a,My favorite place we visited in Hanoi!
25804,Kawaguchi Harumi,Hoi An Ancient Town,5,en,25804.c,It’s like a movie set with all these colorful old buildings!
47789,RayRay,Po Nagar Cham Towers,3,en,47789.b,"Unless you are a big fan of history, it is quite small and the visit ends quickly."
63025,Nhật duy Lê cao,VinWonders Nha Trang,1,vi,63025.g,And this employee talked to me very rudely and called me into making fun of me like a Lgbt person in the crowd.
24223,Sentence,Hoa Lo Prison,3,en,24223.b,And it was a fascinating experience.
26932,うえん❄,Hoi An Ancient Town,3,en,26932.c,"Nihonbashi, which was said to be usable in five places"
18468,AndersKj,Fairy Stream,2,en,18468.b,But this is more for the nature beside you on your way to the spring.
24359,JD S,Hoa Lo Prison,3,en,24359.d,Like the stories that people went through.
36441,ziadzoubian,My Son,3,en,36441.e,To make it short any easy for you if you ever visited Angor Aat then drop My Son unless you are person that just ticks off attractions.The ruins in themselves will not add to your experience or knowledge unless you have guide in front of you to explaining (there is at the entrance to hire)Wham impressed me was the location of the ruins surrounded by a jungle (honestly I considered it more a short hike than a sightseeing.)Last words: think twice before you go.
51252,Tiến Nguyễn Hoàng,Saigon Central Post Office,1,en,51252.a,The service is almost like a government job.
62537,Celeste Herrera,VinWonders Nha Trang,3,en,62537.k,We also had to wait 20mins for the next ferry back as we had just missed the one that left which was a bit frustrating.
23036,Thế Anh Bùi,Hoa Lo Prison,5,en,23036.f,"The prison isn't too big, so the space feels really cramped."
23371,Steviep,Hoa Lo Prison,5,en,23371.c,"Please make sure that you get the audio guide at the start of the tour, as this explains things that you will miss without it."
51252,Tiến Nguyễn Hoàng,Saigon Central Post Office,1,en,51252.h,Probably 1.2 bad guys brought in by their family.
45454,Lu Harris,Po Nagar Cham Towers,5,en,45454.c,Recommend place when you visit to Nha Trang.
5939,An_danh_310,Cai Rang Floating Market,4,en,5939.a,"Overall, the trip was a very good value."
47965,LyDo,Po Nagar Cham Towers,3,en,47965.c,They are robes you can borrow if needed.
27231,Thien Nguyen,Hue Imperial City,5,vi,27231.a,"Even though some buildings are renovating, there's still a lot of other projects to be seen, and this is a bit of an old life, and it's worth a visit."
61778,Ngoc Anh Trần,VinWonders Nha Trang,5,vi,61778.c,Here's an amazing view and Vin's staff are so excited that people should come and experience it.
30985,Sabrina S,Ha Long Bay,1,de,30985.b,"First a gem factory, then all up to the boat."
49220,francis dureza sablon,Saigon Central Post Office,5,en,49220.c,The Central Post Office was constructed when IndoChina was colonized by the French in 19th Century.
13847,Evaleolu,Cat Cat Village,2,en,13847.a,Cat cat village couldn’t be depicted as a horrible experience as the walk is pleasant and the locals are nice
34443,Độc Hành Nhân,Lake of the Restored Sword,4,vi,34443.j,Our country has always wanted peace
48546,Vasili P,Po Nagar Cham Towers,2,en,48546.b,"Peolple do behavor very roughly...Do not reccomend, only morning time."
14912,A,Dragon Bridge,5,en,14912.a,Hilarious experience! We did the boat tour one night and went and walked physically underneath the dragon the next night - DO NOT do the boat tour!
67098,MelbourneCam,White Sand Dunes,5,en,67098.a,Great Time at the Dunes We had a lot of laughs and fun at the White Dunes.
62569,Michael P,VinWonders Nha Trang,2,en,62569.h,They are confiscating all food and drinks at the entrance.
18866,Niv Yefet,Fairy Stream,1,en,18866.o,"They made it sound like a bonus, not a must. When we arrived, we found out that you can’t enter the white dunes without paying extra either by a big Jeep (800,000 VND) or an ATV for two people (600,000 VND)."
53937,陳信男,Temple Of Literature,4,en,53937.a,"There are many tourists visiting, including many local Vietnamese."
57748,EleCheshire,The Independence Palace,2,en,57748.a,This is not a palace in the sense of what you might picture in Europe etc.
11841,Sarah P,Cu Chi Tunnel,2,en,11841.c,"but we were told to leave half was through the video as it was to late, no time to look at the gift shop."
31989,849barry,Japanese Bridge,4,en,31989.a,Very interesting bridge I loved this area.
63833,Tang Sunny,VinWonders Phu Quoc,4,en,63833.e,The best part of this amusement park was that all facilities were just short-queued.
36431,ERDFirefighter,My Son,3,en,36431.d,So if you have a desire to see My Son then go when it opens which is 7 a.m. or go later in the afternoon around 3 p.m..
67108,Ali M,White Sand Dunes,5,en,67108.k,Finally from Hue we flew back to Ho Chi Minh and joined a Mekong Delta tour before ending our very hectic
65868,Dominic Martin,War Remnants Museum,3,en,65868.f,Overall I was left with a sense of horror at the Vietnam conflict which I think it’s fair to say is the most important aim of the museum.
14299,Tine Vandenberghe,Cat Cat Village,1,en,14299.c,The best similarity is too compare it with an attraction park. With sad attractions though. Shops with all the same products.
42145,Freek Horsten,Notre Dame Cathedral of Saigon,2,en,42145.b,while it was being renovated.
14720,lucie,Dragon Bridge,5,en,14720.a,"Spectacular. Especially in the evening, with all its lights changing color."
68453,Elena M,White Sand Dunes,1,en,68453.c,"while all travellers like me, are trying to escape from this horrible noise hidding in top dunes hill or just keeping far from them..."
42358,Romain Bedeau,Notre Dame Cathedral of Saigon,2,en,42358.a,Visits are currently impossible.
6453,thanh tung vi,Cai Rang Floating Market,3,vi,6453.b,while the sewer road was unopened...
30703,yaninabeccaria,Ha Long Bay,2,en,30703.o,"Among many things floating in the water we saw condoms, syringes, tons of bottles, plastic bags, styrofoam, etc. so we did not want to get in the water which made our 3 day stay VERY LONG. - They took us to a ""Fishing Village""."
53865,Yangfei Zhu,Temple Of Literature,4,en,53865.a,"For a Chinese, I’m not so impressed by this place, we have so so so many more similar temples with much more ancient architectures, sculptures and exhibitions …"
27859,Linda,Hue Imperial City,5,en,27859.a,A spectacle you won't forget Step into the past with a visit to the majestic Hue Imperial City.
26220,CAM84,Hoi An Ancient Town,5,en,26220.c,It’s a great place to explore during the day (but it’s hot!) and stunning at night when the boats with lanterns cruise the canal.
45130,Sam G,Old Quarter,1,en,45130.e,Ho chi Mihn is so much better and people are much nice!
47764,LamN,Po Nagar Cham Towers,3,en,47764.a,"Where Nha Trang stands today used to be part of the Cham kingdom, which was once more powerful and larger than Vietnam."
20627,C. the world,Ho Chi Minh's Mausoleum,5,en,20627.c,Be mindful of your appearance; don't wear very short shorts or tops with thin straps that expose your chest. The guards will ask you to cover yourself with a piece …
3065,Lewis,Ba Na Hills,2,en,3065.e,"but even the bridge gets crammed with people wanting pictures, post afternoon you cannot even move over it."
56576,JR Li,The Independence Palace,4,en,56576.c,No air-con throughout the entire palace except for the documentary film room.
51314,tig68er,Tam Coc-Bich Dong,5,en,51314.c,though this wasn't possible but next time would stay in accommodation at Tam Coc and spend the time exploring the beautiful little town that it is.
3935,kurei87,Ben Thanh Market,4,en,3935.a,Alot of purchases deem worthy to buy has to go to how you negotiate and bargain with the stalls.
65072,Nazim Khan,War Remnants Museum,5,en,65072.d,Must go for the people to know more about Vietnam.
518,steverichhudd,An Bang Beach,4,en,518.f,As soon as you get to the beach you are 'asked' to hire a bed.
67512,Nishant P,White Sand Dunes,4,en,67512.d,though the service provider lacks the professionalism to make the experience even better.
65054,Daniel B,VinWonders Phu Quoc,1,en,65054.a,Thank you for contacting us for the enclosed matter.
31730,Steve_of_N21,Japanese Bridge,4,en,31730.b,But as others have said not really worth making a special trip for.
2860,David Allan,Ba Na Hills,3,en,2860.d,"Signage is lacking, it's confusing what to do thwn you arrive."
47589,Hai Anh,Po Nagar Cham Towers,3,en,47589.a,The Po Nagar Cham Towers are a place steeped in Cham history.
30756,Con L,Ha Long Bay,2,en,30756.c,"On our first visit in 2006, we jumped-off the boat for a swim at sunrise, in a secluded bay without other boats."
66371,zizie gg,War Remnants Museum,2,en,66371.a,Same like 6 years back
36656,Anika D,My Son,3,en,36656.c,"Very beautiful mountains, ruins and nature in general."
25863,husain,Hoi An Ancient Town,5,en,25863.d,Evenings by the river were magical.
19652,Vladimir L,Golden Bridge,4,en,19652.b,"The only downside is that you have to buy the Disneyland type package, which include visiting fake France and fake Buddha temple."
48212,OksanaKon,Po Nagar Cham Towers,3,en,48212.d,but there's no compelling history attached to them.
10776,Slainte,Cu Chi Tunnel,5,en,10776.e,We were offered various fruits and water for the journey of just under 1 and half hours.On arriving at Cu Chi tunnels we went for lunch.
39756,jmlyeong,Notre Dame Cathedral of Saigon,5,en,39756.b,So captivated by the lovely voices of the choir too.
52608,user0255,Tam Coc-Bich Dong,2,en,52608.g,"initially me and my dad said no, since we didn't want nor need any"
55842,Nguyễn Henry,The Independence Palace,5,vi,55842.b,To be grasped best
27948,Elina Ermakova,Hue Imperial City,5,en,27948.b,This is just one of the places you really must go when you are in Hue City. Vietnam's old imperial palace.
17975,Виталий Т,Fairy Stream,3,ru,17975.b,"If you think of a way to get to the top of the creeks (the town on the goglocards past the fish sauce plants) you're already writing about the rest: dirty, hard to walk through, a lot of questionable food is overpriced, waterfall is nothing)."
57043,Luckylibrarian-The Last Hurrah,The Independence Palace,3,en,57043.d,I found the war rooms/bunker and the president’s bedroom interesting.
52369,Mathias G,Tam Coc-Bich Dong,3,en,52369.a,The landscape is pretty nice
54917,Lisetravel,Temple Of Literature,3,en,54917.a,The visit is okay
63607,ashishiyengar,VinWonders Phu Quoc,5,en,63607.c,"It comprises of all sort of rides available inside be it roller coaster (was unfortunately it was under maintainence), 3D games with rides and others."
38813,Frankie92374,Nha Trang Beach,3,en,38813.a,This is a nice beach
30283,elisabethHam,Ha Long Bay,3,de,30283.d,Here it is worth spending more money - and e.g. to do without a trip to Ti Top Island or kayaking (is not so worthwhile anyway) - and to shippern through calmer waters.
16335,AG,Dragon Bridge,3,en,16335.d,I wish the bridge lights were synced to it
4934,Steven,Ben Thanh Market,1,en,4934.g,Saigon Square has the same merchandise but the stall holders don't hassle you.
26337,Sue C,Hoi An Ancient Town,5,en,26337.a,"This ancient town has been re-engineered as a wonderful tourist town. Full of charm, history, and beauty."
20038,VaVoom,Golden Bridge,3,en,20038.k,Cable car system can be a bit confusing.
51453,siva p,Tam Coc-Bich Dong,5,en,51453.b,This is must see place
12157,Mingjiun Tan,Cu Chi Tunnel,2,en,12157.b,"Too bad I had an injured left knee, not able to experience to go down to the tunnel."
7715,smagmags,Cat Ba Island,4,en,7715.r,"The return busses leave at 9:15 am and 1:15 pm, and the ticket price is the same 210,000 dong."
66277,Mathew Gennaro,War Remnants Museum,2,en,66277.e,but definitely a place to go to neutralize all the pro war poeple and families.
60418,Elikx,The Marble Mountains,1,en,60418.a,"My sister and I went here and I have to say, I enjoyed this more than other pagodas."
63415,Nasko K,VinWonders Phu Quoc,5,de,63415.a,This is a wonderful place where time goes by unnoticed.
29821,Cris T,Ha Long Bay,4,en,29821.c,The natural setting is spoiled by the construction and the garbage.
29990,AJ Miller,Ha Long Bay,4,en,29990.a,An absolute dream destination that's been on my bucket list for years.
10797,Ynot1709,Cu Chi Tunnel,5,en,10797.c,but I can understand why.
2013,Sergejs Ponomarjovs,Ba Na Hills,5,en,2013.m,This place is truly one of a kind and worth every penny.
26620,Matthewe1968,Hoi An Ancient Town,5,en,26620.k,Review of: Halong Bay Cruise 2 Days 1 Night with 4 Star Luxury
20344,clarerigby544,Golden Bridge,1,en,20344.a,Wouldn’t recommend this trip.
25897,grresq,Hoi An Ancient Town,5,en,25897.b,"Our private guide, Hau (or David) led us to the best table in a great restaurant for the river view."
28623,Tu Hoang Trong,Hue Imperial City,3,vi,28623.b,"Oh, well, I'm willing to beat the tour guide in front of the guest, and if I don’t like it, ‘ I don’t like it."
13417,임효경,Cat Cat Village,4,ko,13417.b,but it's a quick visit in 2.3 hours to get here.
53189,C Iradab,Tam Coc-Bich Dong,1,fr,53189.c,"It's disappointing, we lose the charm of it on this street."
31763,Cinda10,Japanese Bridge,4,en,31763.a,This ancient bridge is situated in the old city.
65062,Ryan,War Remnants Museum,5,en,65062.d,but it shared light on the Vietnam War.
24488,Tony B,Hoa Lo Prison,3,en,24488.b,but this is basically a few rooms showing how completely horrific the French imprisoned the communists back in the day and how well the Vietnamese looked after the Americans so well during the Vietnam war.
22097,alessandro s,Ho Chi Minh's Mausoleum,2,en,22097.a,"Undoubtedly very important for the Vietnamese for the fundamental role of Ho Chi Minh in the history of the country.That said, to visit the interior you have to queue for over an hour (if there is unpleasant sun), airport style checks, absolute prohibition of photographs with a camera deposited at the entrance.The visit is a line up to Ho Chi Minh's embalmed body inside an imposing building"
21579,Frank H,Ho Chi Minh's Mausoleum,3,en,21579.d,"Given the importance of the place, chatting and such right in front of the mausoleum seemed odd."
46533,Kim Seok-jung,Po Nagar Cham Towers,4,en,46533.d,It is a great place to take photos.
51176,ChristMelbourne,Saigon Central Post Office,1,en,51176.a,Located close to the R.C.Cathedral and not too far from the Renaissance Hotel.
11443,Passport820326,Cu Chi Tunnel,3,en,11443.d,The tunnels themselves were good
54751,Carla A,Temple Of Literature,3,en,54751.e,I would recommend it if you like and are interested in temples.
9325,KylieRuscoe,Crazy House Hang Nga Villa,3,en,9325.a,We spent an hour hear walking through all the twists and turns in this crazy place.
30283,elisabethHam,Ha Long Bay,3,de,30283.c,"Otherwise, you drive in a crowd of hundreds of ships, whirled by the tuckers of the diesel engines and the corresponding stench."
21633,chiangmaicharlies,Ho Chi Minh's Mausoleum,3,en,21633.a,"A very popular destination for tourists, but once you're queued up, walked past the body and left, you may feel underwhelmed."
46141,Andrey T,Po Nagar Cham Towers,5,en,46141.k,This is evident in the skillfully replaced crumbling bricks.
52828,Rhi E,Tam Coc-Bich Dong,2,en,52828.c,They try to scam you into buying tonnes of photos and over charge you at the end forcing you to buy drinks.
14976,Bính Phạm,Dragon Bridge,5,en,14976.d,Watching the dragon breathe fire and spray water on weekends is even more impressive and a worthwhile experience when visiting Da Nang.
37166,Piotr Gabrylewicz,My Son,2,en,37166.a,"Very nice archeological site, similar to Cambodian temples"
12341,clodagh m,Cu Chi Tunnel,1,en,12341.g,Our guide and driver were also very rude when we asked if they could drop us off on route back to HCMC so we could get a taxi to our hotel (as it was outside the centre)
62222,saint P,VinWonders Nha Trang,3,en,62222.v,"but if you don't look at the rides and the water slides, you can go for the zoo and the park"
48780,BackPacker818120,Po Nagar Cham Towers,1,en,48780.a,"If you're a die-hard architecture fan and absolutely love crowds of Chinese people, you should definitely visit this place."
62628,Lily M,VinWonders Nha Trang,2,en,62628.a,"The cable car ride was great, definitely the high light of Vinpearl Land."
4480,Cosmopolitan337196,Ben Thanh Market,3,en,4480.b,"The horrible experience I had was when I was buying stuff, the seller took all my money from my hand, trying to sell me a bag and 4 shirts I wanted for VND3.5 million ."
62611,Stephen S,VinWonders Nha Trang,2,en,62611.a,Spent about 1 and 1/2 hours there.
34580,G Whizz,Lake of the Restored Sword,4,en,34580.a,"Hoan Kiem Lake is wonderful both in the morning and at night, and each visit gives a different feeling."
11337,linda yulianti,Cu Chi Tunnel,4,en,11337.a,Interesting. The silent witness how Viet Cong army under Ho Chi Minh leadership fight for Vietnam independence and captured Saigon from American intervention.
40892,Nazanin R,Notre Dame Cathedral of Saigon,3,en,40892.a,"As of March 2026, the cathedral is under renovation and closed to visitors."
17093,87larisab,Fairy Stream,5,fr,17093.c,Do it if you have the opportunity.
54833,Jacky P,Temple Of Literature,3,en,54833.c,Well-maintained site located in the middle of the city.
62203,Espen,VinWonders Nha Trang,4,en,62203.k,Baboons have hemoroids on hemoroids.
64958,theo Quaranta,VinWonders Phu Quoc,1,fr,64958.n,We do not recommend the park until this policy discriminates against those with vision problems is changed.
42603,Terry A,Notre Dame Cathedral of Saigon,2,en,42603.d,In my opinion not worth a visit.
22699,boooobi,Ho Chi Minh's Mausoleum,1,en,22699.a,"Because in the afternoon, when we were there, it was closed, which we only found out from a local at the locked door."
34237,Phan Nguyen,Lake of the Restored Sword,4,vi,34237.c,"The administration, the authorities should check, and if this behavior is wrong, it takes serious trauma to avoid worms that are rich in soup, only for the sake of small gains that undermine the image in which the capital’s special victory and country prevails."
2479,Indrajit,Ba Na Hills,5,en,2479.b,The Cable Car to the Hills was really scary.
19196,Earth Wanderer,Golden Bridge,5,en,19196.d,Seeing the giant stone hands holding up the gold thread of a bridge amidst the clouds is an experience I will never forget.
31020,Anna B,Ha Long Bay,1,de,31020.h,but we would never want to book a boat trip with overnight stay again!
51777,Carlo V,Tam Coc-Bich Dong,4,en,51777.a,Beuatiful place where go on a boat on the river to see caves and rocks.
5085,Stefan Hyltoft,Ben Thanh Market,1,en,5085.b,We got scammed by a food vendor after we ordered soup and some dry pork flaps on sticks.
26309,alan_hodge,Hoi An Ancient Town,5,en,26309.f,Review of: Hoi An Ancient Town - Night Market Street Food Tours By Night
30419,carsten krause,Ha Long Bay,3,de,30419.a,"A breathtaking scenery, unfortunately, which is quite destroyed by mass tourism and the associated things. Hundreds of ships and boats daily."
25567,Guy Dye,Hoi An Ancient Town,5,en,25567.d,Definitely a place worth visiting if you get the chance.
61382,Day Tran Quoc,Tra Su Cajuput Forest,1,vi,61382.a,The cost is too much for the workers.
1875,Vu Lan,An Bang Beach,1,vi,1875.c,"While the restaurant next to the price of 20,000 cans of coke, putting a drink on the table after a"
48593,Natalya S,Po Nagar Cham Towers,2,en,48593.c,You can just look at photos from other travelers!
51713,Roam20716917383,Tam Coc-Bich Dong,4,en,51713.f,Book a place with a pool!!
13051,Stefano C,Cat Cat Village,4,it,13051.b,but the visit n is really worth it.
54146,YM2K,Temple Of Literature,4,en,54146.c,The landscaping is well done.
55024,ems_air1,Temple Of Literature,3,en,55024.a,"Temple was very nice, I didn't have a guide so I just went at my own pace, the gardens are very pretty and there is a lot of info about the history"
45712,Summer,Po Nagar Cham Towers,5,en,45712.b,although the area around the towers is a bit sunny
2942,Not Quite Viet,Ba Na Hills,3,en,2942.z,"Food was ok, not terrible."
38670,TinaTravel17,Nha Trang Beach,3,en,38670.b,but what a shame that the beach is so dirty!!You have to pay for a sunbed and it starts from 50.000dong.
26538,PappanMajumdar,Hoi An Ancient Town,5,en,26538.bb,Then there are a slightly bigger ones with many lanterns which operate in another part of the river.
59684,MM0980,The Marble Mountains,3,de,59684.j,After the countless top reviews I had imagined the mountains more impressive.
51002,Antonio Tomas Lessa do Amaral,Saigon Central Post Office,2,en,51002.a,"Just a large not particularly nice building, most of it nowadays selling the usal plastic junk souvenirs at prices 2 or 3 times higher than the sidewalk sellers around town and also just outside the postoffice"
6081,Thinh nguyen vu,Cai Rang Floating Market,4,en,6081.b,It a traditional market in Cần Thơ province
56971,Tim M,The Independence Palace,3,en,56971.b,Puppet regimes propped up by the US complete with Huey helicopter on the roof for a quick escape.
35401,oceanemn,Lake of the Restored Sword,2,en,35401.a,Not worth a look
6293,Phoebe,Cai Rang Floating Market,3,vi,6293.f,although I'm going from four o'clock in the morning and at five in the morning I'm hoping the market will grow and keep the floating market culture so that my children can see how beautiful Vietnam is.
5809,tùng nguyễn sơn,Cai Rang Floating Market,5,vi,5809.b,"It's about 5:00 a.m., 25 minutes in the morning."
30722,ChilliCat_Travels,Ha Long Bay,2,en,30722.z,The ash tray was not cleared at all during our trip.
38716,Evancity,Nha Trang Beach,3,en,38716.a,Stayed here for 5 nights.
49848,Wood77,Saigon Central Post Office,3,en,49848.b,This French structure has a beautiful ceiling.
20959,Alex Snowball,Ho Chi Minh's Mausoleum,4,en,20959.a,Good area to walk around and see.
44757,Karin L,Old Quarter,2,en,44757.d,Hanoi is a nightmare definitely.
38969,Jessica R,Nha Trang Beach,2,en,38969.g,however the tourism appeal is also lacking.
12444,Littleri0,Cu Chi Tunnel,1,en,12444.a,I have been to Cu Chi many years ago and found it fascinating!
